indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,dataSource,visible,updateFreq,used_for_model
risk-score,Risk Score,Risk of the flood disaster,26,Risk Score,,Score,MODEL,y,,
flood-hazard,Flood Hazard,Hazards or Potential of a physical event that may cause loss of life or property,80,Hazard,Risk Score,Score,MODEL,y,,
max-rain,Maximum rainfall value in the revenue circle,Maximum rainfall value in the revenue circle,44,Hazard,Flood Hazard,mm,IMD,,,x
mean-rain,Mean rainfall value in the revenue circle,Mean rainfall value in the revenue circle,41,Hazard,Flood Hazard,mm,IMD,,,x
sum-rain,Total Rainfall,Sum rainfall value in the revenue circle,40,Hazard,Flood Hazard,mm,IMD,y,,y
mean-ndvi,Mean NDVI,Mean Normalised Difference Vegetation Index (NDVI) value for the revenue circle,79,Hazard,Flood Hazard,Ratio,SENTINEL,,,n
inundation-pct,Percentage area inundated,Percentage area of the revenue circle detected as inundated,59,Hazard,Flood Hazard,Ratio,BHUVAN,,,x
inundation-intensity-mean,Mean Intensity of Inundation,"Intensity is calculated by dividing number of times a pixel got inundated with the maximum number of times any pixel got inundated in the Revenue Circle. For instance, if a pixel A in Revenue Circle got inundated 5 times in a month and the pixel with maximum inundation saw 10 days of inundation. Then inundation intensity of pixel A is 5/10 = 0.5. This variable then calculates mean of inundation intensities of all pixels.",424,Hazard,Flood Hazard,Ratio,BHUVAN,,,x
inundation-intensity-mean-nonzero,Mean intensity of inundation (removing 0 intensity pixels),Mean of inundation intensities of all pixels which were inundated atleast once in the month,91,Hazard,Flood Hazard,Ratio,BHUVAN,,,x
inundation-intensity-sum,Sum of inundation intensities,Sum of inundation intensities of all pixels in the Revenue Circle,65,Hazard,Flood Hazard,Ratio,BHUVAN,y,,y
riverlevel-mean,Mean River Water Level,Mean of river water levels from all Flood Forecasting Stations in the Revenue Circle,84,Hazard,Flood Hazard,m,CWC,,,n
riverlevel-min,Minimum river water level,Minimum river water levels from all Flood Forecasting Stations in the Revenue Circle,84,Hazard,Flood Hazard,m,CWC,,,n
